MarriottQuarterlyRevenue,MarriottQuarterlyRevenueDollars
2020-09-30,2254000000.0
2020-06-30,1464000000.0
2020-03-31,4681000000.0
2019-12-31,5371000000.0
2019-09-30,5284000000.0
2019-06-30,5305000000.0
2019-03-31,5012000000.0
2018-12-31,5289000000.0
2018-09-30,5051000000.0
2018-06-30,5409000000.0
2018-03-31,5009000000.0
2017-12-31,5251000000.0
2017-09-30,5078000000.0
2017-06-30,5211000000.0
2017-03-31,4912000000.0
2016-12-31,3791000000.0
2016-09-30,3942000000.0
2016-06-30,3902000000.0
2016-03-31,3772000000.0
2015-12-31,3706000000.0
2015-09-30,3578000000.0
2015-06-30,3689000000.0
2015-03-31,3513000000.0
2014-12-31,3559000000.0
2014-09-30,3460000000.0
2014-06-30,3484000000.0
2014-03-31,3293000000.0
2013-12-31,3219000000.0
2013-09-30,3160000000.0
2013-06-30,3263000000.0
2013-03-31,3142000000.0
2012-12-31,3757000000.0
2012-09-30,2729000000.0
2012-06-30,2776000000.0
2012-03-31,2552000000.0
2011-12-31,3693000000.0
2011-09-30,2874000000.0
2011-06-30,2972000000.0
2011-03-31,2778000000.0
2010-12-31,3642000000.0
2010-09-30,2648000000.0
2010-06-30,2771000000.0
2010-03-31,2630000000.0
2009-12-31,3380000000.0
2009-09-30,2471000000.0
2009-06-30,2562000000.0
2009-03-31,2495000000.0
2008-12-31,3784000000.0
2008-09-30,2963000000.0
2008-06-30,3185000000.0
2008-03-31,2947000000.0
2007-12-31,4089000000.0
2007-09-30,2943000000.0
2007-06-30,3122000000.0
2007-03-31,2836000000.0
2006-12-31,3696000000.0
2006-09-30,2703000000.0
2006-06-30,2891000000.0
2006-03-31,2705000000.0
2005-12-31,3220000000.0
2005-09-30,2714000000.0
2005-06-30,2661000000.0
2005-03-31,2534000000.0
