WYNDHAMQuarterlyNet-Income,WYNDHAMQuarterlyNetIncomeDollars
2020-09-30,40000000.0
2020-06-30,-164000000.0
2020-03-31,-134000000.0
2019-12-31,168000000.0
2019-09-30,135000000.0
2019-06-30,124000000.0
2019-03-31,80000000.0
2018-12-31,112000000.0
2018-09-30,148000000.0
2018-06-30,378000000.0
2018-03-31,34000000.0
2017-12-31,415000000.0
2017-09-30,264000000.0
2017-06-30,85000000.0
2017-03-31,90000000.0
2016-12-31,163000000.0
2016-09-30,196000000.0
2016-06-30,156000000.0
2016-03-31,96000000.0
2015-12-31,141000000.0
2015-09-30,190000000.0
2015-06-30,159000000.0
2015-03-31,122000000.0
2014-12-31,80000000.0
2014-09-30,206000000.0
2014-06-30,153000000.0
2014-03-31,90000000.0
2013-12-31,85000000.0
2013-09-30,187000000.0
2013-06-30,133000000.0
2013-03-31,27000000.0
2012-12-31,81000000.0
2012-09-30,159000000.0
2012-06-30,128000000.0
2012-03-31,32000000.0
2011-12-31,56000000.0
2011-09-30,175000000.0
2011-06-30,114000000.0
2011-03-31,72000000.0
2010-12-31,78000000.0
2010-09-30,156000000.0
2010-06-30,95000000.0
2010-03-31,50000000.0
2009-12-31,73000000.0
2009-09-30,104000000.0
2009-06-30,71000000.0
2009-03-31,45000000.0
2008-12-31,-1356000000.0
2008-09-30,142000000.0
2008-06-30,98000000.0
2008-03-31,42000000.0
2007-12-31,104000000.0
2007-09-30,117000000.0
2007-06-30,96000000.0
2007-03-31,86000000.0
2006-12-31,92000000.0
2006-09-30,92000000.0
2006-06-30,75000000.0
2006-03-31,28000000.0
2005-12-31,0.0
2005-09-30,121000000.0
2005-06-30,89000000.0
