WYNDHAMQuarterlyRevenue,WYNDHAMQuarterlyRevenueDollars
2020-09-30,614000000.0
2020-06-30,343000000.0
2020-03-31,558000000.0
2019-12-31,981000000.0
2019-09-30,1105000000.0
2019-06-30,1039000000.0
2019-03-31,918000000.0
2018-12-31,955000000.0
2018-09-30,1062000000.0
2018-06-30,1007000000.0
2018-03-31,907000000.0
2017-12-31,659000000.0
2017-09-30,1015000000.0
2017-06-30,978000000.0
2017-03-31,1154000000.0
2016-12-31,-587000000.0
2016-09-30,1573000000.0
2016-06-30,1403000000.0
2016-03-31,1303000000.0
2015-12-31,654000000.0
2015-09-30,1564000000.0
2015-06-30,1398000000.0
2015-03-31,1262000000.0
2014-12-31,1231000000.0
2014-09-30,1514000000.0
2014-06-30,1343000000.0
2014-03-31,1193000000.0
2013-12-31,1196000000.0
2013-09-30,1427000000.0
2013-06-30,1253000000.0
2013-03-31,1133000000.0
2012-12-31,1094000000.0
2012-09-30,1265000000.0
2012-06-30,1139000000.0
2012-03-31,1036000000.0
2011-12-31,1000000000.0
2011-09-30,1212000000.0
2011-06-30,1090000000.0
2011-03-31,952000000.0
2010-12-31,937000000.0
2010-09-30,1065000000.0
2010-06-30,963000000.0
2010-03-31,886000000.0
2009-12-31,913000000.0
2009-09-30,1016000000.0
2009-06-30,920000000.0
2009-03-31,901000000.0
2008-12-31,911000000.0
2008-09-30,1226000000.0
2008-06-30,1132000000.0
2008-03-31,1012000000.0
2007-12-31,1032000000.0
2007-09-30,1216000000.0
2007-06-30,1100000000.0
2007-03-31,1012000000.0
2006-12-31,970000000.0
2006-09-30,1047000000.0
2006-06-30,955000000.0
2006-03-31,870000000.0
2005-12-31,0.0
2005-09-30,948000000.0
2005-06-30,867000000.0
