date,BestWestern,Hilton,Marriott
2020-09-30,1280000000.0,933000000.0,2254000000.0
2020-06-30,1192000000.0,564000000.0,1464000000.0
2020-03-31,772000000.0,1920000000.0,4681000000.0
2019-12-31,1525000000.0,2369000000.0,5371000000.0
2019-09-30,1224000000.0,2395000000.0,5284000000.0
2019-06-30,1280000000.0,2484000000.0,5305000000.0
2019-03-31,1024000000.0,2204000000.0,5012000000.0
2018-12-31,1205000000.0,2288000000.0,5289000000.0
2018-09-30,1047000000.0,2253000000.0,5051000000.0
2018-06-30,1017000000.0,2291000000.0,5409000000.0
2018-03-31,798000000.0,2074000000.0,5009000000.0
