Date, Close/Last, Volume, Open, High, Low
01/27/2021, $0.3, 8175, $0.34, $0.34, $0.3
01/26/2021, $0.34, 125, $0.34, $0.34, $0.34
01/25/2021, $0.325, N/A, $0.325, $0.325, $0.325
01/22/2021, $0.325, 11700, $0.325, $0.325, $0.325
01/21/2021, $0.3395, 3120, $0.3395, $0.3395, $0.3395
01/20/2021, $0.4, N/A, $0.4, $0.4, $0.4
01/19/2021, $0.4, N/A, $0.4, $0.4, $0.4
01/15/2021, $0.4, N/A, $0.4, $0.4, $0.4
01/14/2021, $0.4, N/A, $0.4, $0.4, $0.4
01/13/2021, $0.4, 106601, $0.35, $0.4, $0.305
01/12/2021, $0.35, 22801, $0.35, $0.35, $0.35
01/11/2021, $0.36, N/A, $0.36, $0.36, $0.36
01/08/2021, $0.36, 385, $0.36, $0.36, $0.36
01/07/2021, $0.3995, N/A, $0.3995, $0.3995, $0.3995
01/06/2021, $0.3995, 1775, $0.35, $0.45, $0.35
01/05/2021, $0.35, 3377, $0.3492, $0.35, $0.3492
01/04/2021, $0.423, 1006, $0.423, $0.495, $0.423
12/31/2020, $0.351, 4000, $0.351, $0.351, $0.351
12/30/2020, $0.35, 10000, $0.35, $0.35, $0.35
12/29/2020, $0.35, N/A, $0.35, $0.35, $0.35
12/28/2020, $0.35, N/A, $0.35, $0.35, $0.35
12/24/2020, $0.35, N/A, $0.35, $0.35, $0.35
12/23/2020, $0.35, 3409, $0.35, $0.35, $0.35
12/22/2020, $0.35, 375, $0.35, $0.35, $0.35
12/21/2020, $0.4, 6100, $0.4, $0.4, $0.4
12/18/2020, $0.38, N/A, $0.38, $0.38, $0.38
12/17/2020, $0.38, 2950, $0.38, $0.38, $0.38
12/16/2020, $0.3981, 7187, $0.448, $0.448, $0.3981
12/15/2020, $0.45, 6745, $0.45, $0.45, $0.45
12/14/2020, $0.43, N/A, $0.43, $0.43, $0.43
12/11/2020, $0.43, 6509, $0.54, $0.54, $0.43
12/10/2020, $0.44, 4850, $0.45, $0.45, $0.44
12/09/2020, $0.435, 6150, $0.44, $0.44, $0.4225
12/08/2020, $0.461, 57350, $0.3549, $0.5067, $0.3549
12/07/2020, $0.305, N/A, $0.305, $0.305, $0.305
12/04/2020, $0.305, 20200, $0.3328, $0.39, $0.3
12/03/2020, $0.3328, 15631, $0.3328, $0.3328, $0.29
12/02/2020, $0.222, 350, $0.222, $0.222, $0.222
12/01/2020, $0.29, 15639, $0.3, $0.3, $0.29
11/30/2020, $0.33, 1000, $0.332, $0.332, $0.33
11/27/2020, $0.24, 50000, $0.25, $0.25, $0.24
11/25/2020, $0.23, N/A, $0.23, $0.23, $0.23
11/24/2020, $0.23, 500, $0.23, $0.23, $0.23
11/23/2020, $0.2424, N/A, $0.2424, $0.2424, $0.2424
11/20/2020, $0.2424, 8736, $0.2424, $0.2424, $0.242
11/19/2020, $0.238, 6121, $0.2468, $0.2468, $0.238
11/18/2020, $0.25, 15532, $0.242, $0.25, $0.24
11/17/2020, $0.2, N/A, $0.2, $0.2, $0.2
11/16/2020, $0.2, N/A, $0.2, $0.2, $0.2
11/13/2020, $0.2, N/A, $0.2, $0.2, $0.2
11/12/2020, $0.2, N/A, $0.2, $0.2, $0.2
11/11/2020, $0.2, N/A, $0.2, $0.2, $0.2
11/10/2020, $0.2, 1000, $0.2, $0.2, $0.2
11/09/2020, $0.241, 1370, $0.172, $0.241, $0.172
11/06/2020, $0.2424, N/A, $0.2424, $0.2424, $0.2424
11/05/2020, $0.2424, N/A, $0.2424, $0.2424, $0.2424
11/04/2020, $0.2424, N/A, $0.2424, $0.2424, $0.2424
11/03/2020, $0.2424, N/A, $0.2424, $0.2424, $0.2424
11/02/2020, $0.2424, N/A, $0.2424, $0.2424, $0.2424
10/30/2020, $0.2424, N/A, $0.2424, $0.2424, $0.2424
10/29/2020, $0.2424, 1000, $0.2424, $0.2424, $0.2424
10/28/2020, $0.236, 43000, $0.162, $0.236, $0.162
10/27/2020, $0.24, N/A, $0.24, $0.24, $0.24
10/26/2020, $0.24, 40500, $0.24, $0.24, $0.24
10/23/2020, $0.25, N/A, $0.25, $0.25, $0.25
10/22/2020, $0.25, 20000, $0.25, $0.25, $0.25
10/21/2020, $0.25, 2450, $0.303, $0.303, $0.25
10/20/2020, $0.23, N/A, $0.23, $0.23, $0.23
10/19/2020, $0.23, N/A, $0.23, $0.23, $0.23
10/16/2020, $0.23, N/A, $0.23, $0.23, $0.23
10/15/2020, $0.23, N/A, $0.23, $0.23, $0.23
10/14/2020, $0.23, N/A, $0.23, $0.23, $0.23
10/13/2020, $0.23, 9380, $0.25, $0.25, $0.23
10/12/2020, $0.22, 61000, $0.234, $0.248, $0.22
10/09/2020, $0.231, 11000, $0.243, $0.243, $0.231
10/08/2020, $0.24, 5000, $0.24, $0.24, $0.24
10/07/2020, $0.243, 500, $0.243, $0.243, $0.243
10/06/2020, $0.243, 120, $0.243, $0.243, $0.243
10/05/2020, $0.243, 1000, $0.243, $0.243, $0.243
10/02/2020, $0.162, N/A, $0.162, $0.162, $0.162
10/01/2020, $0.162, N/A, $0.162, $0.162, $0.162
09/30/2020, $0.162, 2000, $0.162, $0.162, $0.162
09/29/2020, $0.25, 1000, $0.25, $0.25, $0.25
09/28/2020, $0.2808, 7000, $0.2, $0.2808, $0.2
09/25/2020, $0.162, N/A, $0.162, $0.162, $0.162
09/24/2020, $0.162, N/A, $0.162, $0.162, $0.162
09/23/2020, $0.162, N/A, $0.162, $0.162, $0.162
09/22/2020, $0.162, N/A, $0.162, $0.162, $0.162
09/21/2020, $0.162, 16000, $0.22, $0.246, $0.162
09/18/2020, $0.25, 10000, $0.25, $0.25, $0.25
09/17/2020, $0.26, 2500, $0.26, $0.26, $0.26
09/16/2020, $0.175, 298643, $0.151, $0.292, $0.151
09/15/2020, $0.24, 30800, $0.258, $0.258, $0.24
09/14/2020, $0.24, N/A, $0.24, $0.24, $0.24
09/11/2020, $0.24, 2278, $0.24, $0.24, $0.24
09/10/2020, $0.258, 375, $0.258, $0.258, $0.258
09/09/2020, $0.23, N/A, $0.23, $0.23, $0.23
09/08/2020, $0.23, N/A, $0.23, $0.23, $0.23
09/04/2020, $0.23, 28350, $0.23, $0.23, $0.19
09/03/2020, $0.23, 5595, $0.225, $0.23, $0.225
09/02/2020, $0.25, 8146, $0.26, $0.26, $0.25
09/01/2020, $0.2595, 2250, $0.225, $0.2595, $0.225
08/31/2020, $0.25, 1480, $0.27, $0.29, $0.25
08/28/2020, $0.294, 10350, $0.25, $0.294, $0.25
08/27/2020, $0.295, 109200, $0.239, $0.295, $0.19
08/26/2020, $0.25, 697, $0.25, $0.25, $0.25
08/25/2020, $0.25, 205645, $0.2504, $0.2504, $0.25
08/24/2020, $0.2595, N/A, $0.2595, $0.2595, $0.2595
08/21/2020, $0.2595, 728, $0.2596, $0.2596, $0.2595
08/20/2020, $0.2609, 2527, $0.295, $0.295, $0.2607
08/19/2020, $0.2905, 5776, $0.2771, $0.295, $0.2688
08/18/2020, $0.273, 5206, $0.27, $0.2753, $0.27
08/17/2020, $0.2688, N/A, $0.2688, $0.2688, $0.2688
08/14/2020, $0.2688, 3394, $0.2311, $0.27, $0.2311
08/13/2020, $0.234, 2000, $0.2332, $0.234, $0.2332
08/12/2020, $0.2314, 73311, $0.2335, $0.2349, $0.2314
08/11/2020, $0.228, 7500, $0.2281, $0.2281, $0.228
08/10/2020, $0.2301, 1300, $0.2303, $0.2303, $0.2301
08/07/2020, $0.23, 3000, $0.2339, $0.2339, $0.23
08/06/2020, $0.2271, 210, $0.2266, $0.2271, $0.2266
08/05/2020, $0.2475, 4454, $0.2202, $0.265, $0.2202
08/04/2020, $0.2196, 8566, $0.2152, $0.2205, $0.2152
08/03/2020, $0.2206, 704, $0.2211, $0.2211, $0.2206
07/31/2020, $0.22, N/A, $0.22, $0.22, $0.22
07/30/2020, $0.22, 5963, $0.2295, $0.2295, $0.22
07/29/2020, $0.2245, 2664, $0.2213, $0.2246, $0.2213
07/28/2020, $0.2284, N/A, $0.2284, $0.2284, $0.2284
07/27/2020, $0.2284, 14016, $0.2264, $0.2284, $0.2264
07/24/2020, $0.2142, 2035, $0.2143, $0.2294, $0.2142
07/23/2020, $0.2238, 202, $0.2238, $0.2238, $0.2238
07/22/2020, $0.2197, 72635, $0.2115, $0.245, $0.2108
07/21/2020, $0.2016, 12572, $0.2017, $0.2089, $0.2009
