Date, Close/Last, Volume, Open, High, Low
01/26/2021, $16.07, 221609, $16.4358, $16.8, $16.0234
01/25/2021, $16.3826, 239592, $18.16, $18.16, $16.2105
01/22/2021, $17.38, 93766, $17.36, $17.4251, $17.15
01/21/2021, $17.4425, 148105, $18.07, $18.1, $17.26
01/20/2021, $18.13, 296573, $18.29, $18.52, $18.1
01/19/2021, $18.09, 109490, $18.2384, $18.2869, $18
01/15/2021, $18, 79169, $18.57, $18.6, $17.98
01/14/2021, $18.855, 157007, $18.1562, $19.2501, $18.1172
01/13/2021, $18.062, 57744, $18.1, $18.18, $17.85
01/12/2021, $18.26, 57249, $17.5, $18.26, $17.5
01/11/2021, $17.5, 62711, $18, $18.05, $17.45
01/08/2021, $17.9999, 159225, $18.5, $18.5, $17.81
01/07/2021, $18.3024, 78427, $18.0649, $18.42, $17.95
01/06/2021, $17.9466, 81904, $18.335, $18.4323, $17.7544
01/05/2021, $18.18, 195693, $17.11, $18.35, $17.11
01/04/2021, $17.304, 112031, $18, $18.6, $17.0961
12/31/2020, $17.9, 66430, $17.98, $18.65, $17.82
12/30/2020, $18.23, 439304, $18, $18.75, $18
12/29/2020, $17.95, 98307, $18.2, $18.3227, $17.887
12/28/2020, $18.105, 69096, $17.48, $18.384, $17.48
12/24/2020, $17.85, 91680, $18.53, $18.53, $17.65
12/23/2020, $17.999, 257962, $16.64, $18.2424, $16.64
12/22/2020, $17.09, 157434, $17.4341, $17.6056, $16.7
12/21/2020, $17.5, 686159, $16.5, $17.8, $16.3845
12/18/2020, $18.0455, 138713, $18.5, $18.5, $18
12/17/2020, $18.5791, 191127, $19.5, $19.5, $18.4
12/16/2020, $18.59, 582834, $18.78, $20, $18.5
12/15/2020, $20.7434, 94386, $20.5, $20.81, $19.9572
12/14/2020, $20.45, 87684, $20.465, $21.3, $20
12/11/2020, $20.474, 2980280, $20.7, $20.7, $19.98
12/10/2020, $20.7644, 775543, $20.1439, $20.885, $19.75
12/09/2020, $20.418, 311733, $22.64, $22.64, $20.24
12/08/2020, $21.3, 313313, $21.1, $21.785, $20.66
12/07/2020, $21.12, 222171, $21.1, $21.6686, $20.9388
12/04/2020, $21.51, 134737, $21.71, $22.22, $21.2
12/03/2020, $21.1548, 738440, $20.495, $21.36, $19.83
12/02/2020, $20.061, 253598, $20, $20.13, $19.3377
12/01/2020, $19.39, 221911, $18.78, $20, $18.78
11/30/2020, $19.055, 158531, $20.72, $20.72, $18.5338
11/27/2020, $19.087, 111913, $19.24, $19.94, $18.3974
11/25/2020, $18.2599, 121417, $18, $18.4299, $17.37
11/24/2020, $18.09, 1011326, $16.815, $18.435, $16.815
11/23/2020, $16.59, 162940, $16.2437, $16.6599, $16
11/20/2020, $16.0001, 56678, $16.5, $16.815, $16
11/19/2020, $16.57, 97571, $16.5445, $16.81, $16.1589
11/18/2020, $16.45, 762272, $16.625, $16.6609, $16
11/17/2020, $15.83, 260292, $15.4, $16, $15.21
11/16/2020, $15.4552, 154748, $16.135, $16.27, $15.2276
11/13/2020, $14.78, 112535, $14.1473, $14.8, $14.1468
11/12/2020, $14.155, 216885, $14.4, $14.51, $14.0972
11/11/2020, $14.71, 171993, $15.02, $15.5591, $14.51
11/10/2020, $15.4, 258967, $14.925, $15.75, $14.5084
11/09/2020, $15.625, 845823, $14.23, $15.7155, $13.896
11/06/2020, $12.1552, 65422, $12.4248, $12.504, $12.11
11/05/2020, $12.53, 678593, $11.25, $12.6084, $11.25
11/04/2020, $11.57, 62294, $11.4, $11.645, $11.2308
11/03/2020, $11.4, 381693, $11.5968, $11.645, $11.18
11/02/2020, $11.3105, 413474, $11.055, $11.3295, $10.9275
10/30/2020, $11.05, 123240, $11.2791, $11.32, $10.8768
10/29/2020, $11.3244, 91318, $11.2313, $11.3917, $11.01
10/28/2020, $11.28, 249877, $11.835, $11.85, $11.24
10/27/2020, $11.84, 82530, $12.15, $12.25, $11.82
10/26/2020, $12.1184, 92005, $12.9, $13, $11.9
10/23/2020, $12.94, 193427, $12.61, $13.1243, $12.61
10/22/2020, $12.7592, 175443, $11.96, $12.78, $11.96
10/21/2020, $11.9135, 34134, $11.64, $12.065, $11.64
10/20/2020, $12.1268, 29238, $12, $12.16, $11.96
10/19/2020, $11.836, 75913, $11.52, $12.3, $11.52
10/16/2020, $11.76, 343761, $12, $12, $11.73
10/15/2020, $11.75, 95183, $11.71, $11.7689, $11.5
10/14/2020, $12, 144632, $12.053, $12.3, $12
10/13/2020, $11.9848, 88311, $12.364, $12.364, $11.88
10/12/2020, $12.31, 47333, $12.07, $12.5, $12.07
10/09/2020, $12.27, 233924, $12.76, $12.7604, $12.2466
10/08/2020, $12.7, 296929, $12.306, $12.7, $12.16
10/07/2020, $12.0908, 443885, $12.05, $12.25, $11.92
10/06/2020, $11.6944, 58325, $11.63, $11.96, $11.63
10/05/2020, $11.675, 60394, $11.5, $11.8693, $11.5
10/02/2020, $11.75, 70379, $11.4, $11.8295, $11.4
10/01/2020, $12.03, 437109, $11.6939, $12.03, $11.52
09/30/2020, $11.7983, 136917, $11.4952, $12.06, $11.4952
09/29/2020, $11.42, 131149, $11.87, $11.8854, $11.36
09/28/2020, $11.868, 91794, $12.0914, $12.0914, $11.85
09/25/2020, $11.8001, 259362, $12.35, $12.35, $11.6774
09/24/2020, $11.99, 128383, $11.914, $12.0808, $11.46
09/23/2020, $11.9792, 121850, $12.494, $12.6406, $11.95
09/22/2020, $12.4093, 124423, $12.547, $12.655, $12.185
09/21/2020, $12.4133, 154956, $13.2, $13.5, $12.3231
09/18/2020, $13.6128, 173275, $15, $15, $13.55
09/17/2020, $14.4535, 87651, $13.62, $14.55, $13.49
09/16/2020, $14.42, 240537, $13.687, $14.7766, $13.687
09/15/2020, $13.59, 193063, $13.25, $13.8732, $13.25
09/14/2020, $13.75, 41338, $13.275, $13.88, $13.275
09/11/2020, $13.5, 215940, $13.6334, $13.68, $13.34
09/10/2020, $13.5444, 116264, $13.5, $13.9063, $13.4929
09/09/2020, $13.5643, 37062, $13.13, $14.61, $13.13
09/08/2020, $13.802, 175217, $13.425, $14.67, $13.425
09/04/2020, $14.275, 197182, $14.01, $14.4, $13.88
09/03/2020, $13.6873, 323101, $13.92, $14.45, $13.585
09/02/2020, $13.84, 62785, $12.75, $13.87, $12.75
09/01/2020, $13.455, 77360, $13.3126, $13.6762, $13.14
08/31/2020, $13.55, 407139, $13.88, $13.95, $13.4301
08/28/2020, $13.72, 264133, $13.24, $13.72, $13.063
08/27/2020, $13.1033, 274669, $12.13, $13.16, $12.13
08/26/2020, $12.5201, 71527, $12.14, $12.79, $12.14
08/25/2020, $12.68, 130056, $12.85, $13.01, $12.49
08/24/2020, $12.8165, 158733, $12.27, $12.8668, $12.27
08/21/2020, $12.14, 257133, $12.2, $12.3086, $12.0934
08/20/2020, $12.28, 87061, $12.45, $12.45, $12.05
08/19/2020, $12.4243, 315363, $12.33, $12.5915, $12.1138
08/18/2020, $12.1, 124635, $12.42, $12.42, $12
08/17/2020, $12.251, 135870, $12.695, $12.7814, $12.2141
08/14/2020, $12.7176, 87818, $13.1, $13.1, $12.599
08/13/2020, $12.89, 99952, $12.74, $13.2, $12.65
08/12/2020, $12.8083, 737446, $12.76, $12.82, $12.25
08/11/2020, $12.5, 333561, $13, $13, $12.3
08/10/2020, $12.11, 536156, $11.907, $12.455, $11.5
08/07/2020, $11.751, 1182495, $11.95, $12.4, $11.54
08/06/2020, $11.98, 102966, $12.29, $12.29, $11.68
08/05/2020, $11.82, 100732, $11.31, $11.94, $11.31
08/04/2020, $11.35, 273108, $11.5, $11.73, $11.28
08/03/2020, $11.485, 73000, $11.845, $11.845, $11.2
07/31/2020, $11.29, 128752, $11.93, $11.93, $11.24
07/30/2020, $11.95, 108588, $12.31, $12.31, $11.91
07/29/2020, $12.2693, 428160, $12.74, $12.74, $12.22
07/28/2020, $12.47, 106304, $12.1423, $12.7, $12.0972
07/27/2020, $12.2, 362752, $12.8, $12.8, $12.06
07/24/2020, $12.2781, 30180, $12.4, $12.43, $12.1875
07/23/2020, $12.559, 444632, $12.82, $12.82, $12.3427
07/22/2020, $12.5586, 170897, $12.89, $12.89, $12.5586
07/21/2020, $12.6, 193461, $13, $13, $12.6
07/20/2020, $12.52, 95937, $12.5492, $12.6004, $12.2218
07/17/2020, $12.4797, 168548, $13.1, $13.1, $12.47
07/16/2020, $12.89, 147452, $13, $13.6, $12.64
07/15/2020, $13.4539, 488318, $12.1, $13.6017, $11.99
07/14/2020, $11.74, 231783, $12.01, $12.045, $11.72
07/13/2020, $12.0637, 211375, $11.88, $12.3515, $11.8
07/10/2020, $11.9, 110588, $11.98, $12.19, $11.7821
07/09/2020, $11.93, 399336, $12.27, $12.5, $11.68
07/08/2020, $12.2201, 323641, $12, $12.2519, $11.75
07/07/2020, $11.9409, 221811, $11.905, $12.6, $11.86
07/06/2020, $12.5186, 441656, $13.185, $13.185, $12.4042
07/02/2020, $12.5836, 247495, $12.25, $12.8246, $12.25
07/01/2020, $12.55, 77190, $12.41, $13.41, $12.41
06/30/2020, $12.47, 385879, $12.76, $12.8, $12.3178
06/29/2020, $12.7758, 138478, $12.15, $12.91, $11.76
06/26/2020, $12.15, 317160, $13, $13, $12.12
06/25/2020, $12.528, 733058, $12.46, $12.9421, $12.3
06/24/2020, $12.6211, 195410, $13.25, $13.54, $12.39
06/23/2020, $13.28, 249375, $14.15, $14.15, $13.25
06/22/2020, $13.71, 107682, $13.665, $14, $13.11
06/19/2020, $13.4713, 219490, $14.1, $14.11, $13.33
06/18/2020, $13.83, 66637, $13.78, $14.0985, $13.52
06/17/2020, $13.7848, 131982, $14.2, $14.54, $13.72
06/16/2020, $14.15, 625446, $15.115, $15.38, $13.93
06/15/2020, $13.675, 281598, $14, $14.22, $13.29
06/12/2020, $14.3, 722700, $14.25, $14.5, $13.3689
06/11/2020, $13.1387, 1191564, $12.8, $13.9296, $12.6
06/10/2020, $14.563, 1058496, $15.47, $15.5, $14.1623
06/09/2020, $15.7157, 1260311, $16.03, $16.5343, $15.3215
06/08/2020, $17.4929, 1089640, $15.66, $17.6309, $15.66
06/05/2020, $15.1526, 2126500, $15.595, $17.25, $14.8837
06/04/2020, $14.4459, 2344467, $14.5, $14.87, $13.75
06/03/2020, $13.5921, 1291406, $12.41, $13.7, $12.37
06/02/2020, $12.3492, 281856, $13.015, $13.015, $12.2478
06/01/2020, $12.0805, 266843, $11.415, $12.32, $11.4
