Date, Close/Last, Volume, Open, High, Low
01/26/2021, $41.25, 13388600, $40.8, $41.39, $40.56
01/25/2021, $40.38, 20281920, $41.54, $41.73, $39.9
01/22/2021, $42.14, 13544970, $41.95, $42.29, $41.61
01/21/2021, $42.59, 32185630, $43.804, $43.98, $41.715
01/20/2021, $45.18, 11661300, $45.04, $45.65, $44.41
01/19/2021, $44.75, 9706312, $44.6, $44.9, $43.77
01/15/2021, $43.89, 13211540, $45.85, $45.98, $43.88
01/14/2021, $46.29, 16310460, $45.32, $46.8, $45.32
01/13/2021, $44.43, 11390180, $44.17, $44.64, $43.44
01/12/2021, $44.08, 9053062, $42.81, $44.17, $42.46
01/11/2021, $42.7, 8988803, $42.67, $43.2599, $42.25
01/08/2021, $43.29, 9215340, $43.58, $44, $43.02
01/07/2021, $43.62, 9592931, $43.8035, $44.8399, $43.61
01/06/2021, $43.54, 12318860, $43.6, $44.28, $42.86
01/05/2021, $43.4, 12294450, $41.58, $43.6, $41.5
01/04/2021, $41.63, 14710220, $43.68, $43.7, $41.43
12/31/2020, $43.25, 12683980, $44.41, $44.5617, $43.11
12/30/2020, $44.65, 9473270, $43.635, $44.76, $43.46
12/29/2020, $43.74, 9927674, $44.45, $44.6489, $43.55
12/28/2020, $43.92, 13693200, $44.035, $44.625, $43.75
12/24/2020, $43.26, 7230607, $44.4, $44.4165, $43.01
12/23/2020, $44.11, 15284730, $43.1, $44.69, $43.08
12/22/2020, $42.97, 16602730, $44.65, $44.79, $42.43
12/21/2020, $44.055, 21879090, $43.35, $44.42, $42.63
12/18/2020, $44.74, 16333230, $45.75, $45.95, $44.56
12/17/2020, $45.88, 13785020, $46.3, $46.4, $45.46
12/16/2020, $46, 17369550, $46.5, $46.91, $45.55
12/15/2020, $47.46, 16836300, $47.195, $47.56, $45.8
12/14/2020, $46.72, 15745000, $49.604, $49.65, $46.7
12/11/2020, $48.36, 14770640, $49.15, $49.89, $47.64
12/10/2020, $49.64, 19020500, $46.74, $49.71, $46.6
12/09/2020, $48.02, 23325080, $49.84, $50.0899, $46.73
12/08/2020, $49.04, 17797910, $49.02, $50.4, $48.7201
12/07/2020, $49.2, 22364650, $49.28, $50.3544, $48.71
12/04/2020, $49.24, 26300630, $50.49, $51.31, $48.77
12/03/2020, $49.91, 32545230, $47.67, $50.97, $47.66
12/02/2020, $46.73, 17745670, $45.1, $46.73, $44.52
12/01/2020, $45.32, 18860210, $45.83, $46.5698, $45.23
11/30/2020, $45.05, 23401470, $46.465, $46.5, $44.2
11/27/2020, $45.3, 14103890, $46.2, $46.76, $45.14
11/25/2020, $45.64, 24250770, $44.49, $45.91, $43.65
11/24/2020, $44.96, 29934570, $42.708, $45, $42.45
11/23/2020, $40.93, 21730000, $40.175, $41.18, $40.048
11/20/2020, $39.9, 15604680, $40.71, $40.97, $39.67
11/19/2020, $40.94, 18556310, $41, $41.44, $40.19
11/18/2020, $41.05, 22481990, $41.49, $42.89, $41.05
11/17/2020, $40.6, 19661440, $40, $41.1, $39.575
11/16/2020, $41, 28722700, $42.18, $42.78, $40.0501
11/13/2020, $38.99, 20034690, $37.24, $39.1, $37.08
11/12/2020, $36.85, 23543720, $37.45, $38.71, $36.56
11/11/2020, $38.51, 20044090, $40.07, $40.159, $38.1901
11/10/2020, $40.05, 26596640, $40.45, $41.63, $39.48
11/09/2020, $41.32, 60942630, $41.9, $44.06, $39.13
11/06/2020, $34.68, 13194120, $34.9, $35.15, $34.2
11/05/2020, $35.35, 16192110, $33.699, $35.46, $33.57
11/04/2020, $33.34, 14812280, $34, $34.25, $32.96
11/03/2020, $34.02, 16309030, $34.32, $34.68, $33.76
11/02/2020, $33.78, 13901030, $34.08, $34.1, $32.95
10/30/2020, $33.86, 18795300, $33.15, $34.02, $32.83
10/29/2020, $33.57, 17257400, $32.63, $33.75, $32.43
10/28/2020, $32.6, 21822930, $33.11, $33.66, $32.16
10/27/2020, $34.17, 17594210, $35.11, $35.65, $34.15
10/26/2020, $35.34, 25924490, $37.37, $37.4, $34.67
10/23/2020, $38.01, 20690270, $37.1, $38.1, $36.52
10/22/2020, $37.24, 24747750, $35.9, $37.45, $35.65
10/21/2020, $35.54, 16092670, $35.91, $36.14, $35.21
10/20/2020, $36.06, 22578070, $36.16, $36.59, $35.2
10/19/2020, $35.5, 33094430, $34.45, $36.55, $34.44
10/16/2020, $34.16, 16210040, $34.305, $34.58, $33.815
10/15/2020, $34.25, 23651960, $35.18, $35.38, $33.639
10/14/2020, $35.61, 15064440, $35.26, $36.33, $35.17
10/13/2020, $35.26, 17302990, $35.67, $35.95, $35.215
10/12/2020, $36.38, 20202570, $36.7, $36.99, $36.26
10/09/2020, $37.12, 25311770, $37.054, $37.8, $36.27
10/08/2020, $37, 28333470, $37.16, $37.69, $35.85
10/07/2020, $36.38, 27677310, $36.51, $37.22, $35.88
10/06/2020, $34.88, 28719030, $36.73, $37.09, $34.84
10/05/2020, $36.2, 18046420, $36.43, $36.5798, $35.4201
10/02/2020, $36.01, 35080990, $33.36, $36.77, $33.27
10/01/2020, $35.18, 18972220, $35.23, $35.49, $34.5665
09/30/2020, $34.75, 29441350, $34.95, $36.22, $34.54
09/29/2020, $34.51, 25029770, $35.55, $35.61, $34.24
09/28/2020, $35.94, 34828070, $35.32, $36.9, $34.6622
09/25/2020, $34.2, 21461110, $32.56, $34.27, $32.49
09/24/2020, $32.74, 24638810, $32.785, $33.4, $31.22
09/23/2020, $33.08, 21576930, $34.28, $35.05, $33.05
09/22/2020, $34.07, 16700550, $34.15, $34.65, $33.56
09/21/2020, $33.79, 29900930, $35.4, $35.47, $33.18
09/18/2020, $36.97, 32772790, $38.16, $38.34, $36.68
09/17/2020, $38.355, 31339680, $37.69, $39.28, $37.14
09/16/2020, $38.3, 33301840, $36.9, $38.9, $36.3601
09/15/2020, $36.8, 21378240, $36.84, $37.88, $36.38
09/14/2020, $36.74, 18939880, $36.3, $36.88, $35.84
09/11/2020, $36.07, 19198710, $36.63, $36.8, $35.48
09/10/2020, $36.45, 24905320, $36.35, $37.33, $36.18
09/09/2020, $36.03, 25407620, $36.9, $37.0803, $35.59
09/08/2020, $37.28, 33207120, $37.3, $38.48, $36.48
09/04/2020, $38.21, 33121590, $38.15, $38.7415, $36.46
09/03/2020, $37.4, 53966450, $37.13, $39.77, $36.14
09/02/2020, $36.89, 26622810, $36.1, $37.1, $35.21
09/01/2020, $36.01, 29757270, $35.25, $37.24, $34.95
08/31/2020, $36, 27114240, $37.25, $37.44, $35.73
08/28/2020, $37.34, 35228930, $37.14, $37.44, $35.89
08/27/2020, $36.22, 51046520, $35.5, $37.99, $35.18
08/26/2020, $34.25, 23414510, $35.26, $35.51, $34.11
08/25/2020, $35.22, 39748270, $36.44, $36.9399, $34.48
08/24/2020, $36.32, 50533590, $33.67, $36.3869, $33.2
08/21/2020, $33.04, 22730340, $33.8, $34.44, $32.98
08/20/2020, $34.05, 28196950, $33.92, $34.39, $33.2
08/19/2020, $34.44, 40587930, $34.361, $36.56, $34.13
08/18/2020, $33.98, 19070270, $34.39, $34.88, $33.58
08/17/2020, $34.4, 22574260, $36.21, $36.3, $34.36
08/14/2020, $36.18, 28384140, $35.35, $36.5713, $35.2
08/13/2020, $35.81, 35460090, $35.745, $37.52, $35.52
08/12/2020, $36.4, 35005420, $37.55, $37.74, $35.47
08/11/2020, $36.83, 56549340, $39.64, $39.86, $36.6604
08/10/2020, $37.54, 48876390, $34.65, $37.55, $34.64
08/07/2020, $34.33, 30394460, $33.9, $34.415, $33.45
08/06/2020, $34.4, 51250740, $34.25, $35.03, $33.23
08/05/2020, $33.73, 49260750, $33.31, $34.57, $32.17
08/04/2020, $32.29, 30010100, $32.014, $33.7, $32.01
08/03/2020, $31.87, 35214420, $31.33, $32.28, $30.3185
07/31/2020, $31.38, 29612060, $31.69, $31.77, $30.69
07/30/2020, $31.74, 31536800, $32.03, $32.28, $31.55
07/29/2020, $32.57, 31122770, $33.61, $34.15, $32.215
07/28/2020, $33.46, 41625350, $32.27, $34.04, $32.27
07/27/2020, $32.42, 33062560, $32.89, $33.66, $32.05
07/24/2020, $32.88, 38446610, $32.877, $33.69, $32.47
07/23/2020, $33.23, 82254210, $31.35, $35.13, $30.95
07/22/2020, $31.67, 48195750, $32.82, $33.26, $31.63
07/21/2020, $33.07, 45932070, $32.64, $33.785, $32.46
07/20/2020, $32.33, 36534210, $33.9, $34.39, $32.18
07/17/2020, $33.92, 37397500, $34.27, $34.98, $33.48
07/16/2020, $34.49, 53333160, $34.6, $35.38, $33.88
07/15/2020, $36.37, 84741890, $34.13, $36.78, $33.1602
07/14/2020, $31.74, 44172200, $30.7, $32.32, $30.42
07/13/2020, $31.76, 56572980, $33.23, $33.37, $31.01
07/10/2020, $32.67, 80475540, $29.38, $32.9, $29.23
07/09/2020, $30.17, 53324020, $32, $32.49, $29.96
07/08/2020, $32.53, 55863870, $31.62, $33.03, $31.32
07/07/2020, $32.55, 47337560, $34.07, $34.12, $32.38
07/06/2020, $35.21, 46540290, $34.76, $35.41, $33.52
07/02/2020, $34.14, 53576630, $35.88, $36.08, $33.95
07/01/2020, $34.45, 87861290, $36.92, $38.37, $34.03
06/30/2020, $34.61, 54406450, $34.6, $35.36, $33.23
06/29/2020, $35.27, 64905790, $33.2, $35.5, $31.805
06/26/2020, $32.89, 58993340, $34.5, $34.61, $32
06/25/2020, $34.69, 72479470, $31.35, $34.7566, $31.03
06/24/2020, $33.07, 65450850, $34.68, $35.23, $32.62
06/23/2020, $36.08, 63531780, $36.56, $36.88, $34.37
06/22/2020, $36.54, 65256610, $35.18, $37.1, $35
