Date, Close/Last, Volume, Open, High, Low
01/27/2021, $10.92, 356237, $11.3, $11.4, $10.7436
01/26/2021, $11.46, 378076, $11.4, $11.78, $11.24
01/25/2021, $11.26, 684159, $11.58, $11.75, $10.7997
01/22/2021, $11.17, 217353, $11, $11.19, $10.97
01/21/2021, $11.15, 226700, $11.43, $11.51, $10.96
01/20/2021, $11.41, 238712, $11.48, $11.65, $11.28
01/19/2021, $11.48, 357127, $11.75, $11.75, $11.23
01/15/2021, $11.58, 321285, $11.65, $11.78, $11.4
01/14/2021, $11.82, 274926, $11.72, $12, $11.61
01/13/2021, $11.58, 322094, $11.65, $11.69, $11.47
01/12/2021, $11.62, 570241, $11.84, $11.84, $11.45
01/11/2021, $11.53, 226217, $11.79, $12.04, $11.43
01/08/2021, $11.84, 349913, $11.89, $12.16, $11.76
01/07/2021, $11.88, 211205, $12.38, $12.38, $11.88
01/06/2021, $12.26, 254267, $12.01, $12.38, $11.83
01/05/2021, $11.74, 195368, $11.66, $12.03, $11.65
01/04/2021, $11.86, 393329, $12.42, $12.61, $11.66
12/31/2020, $12.42, 413990, $11.99, $12.55, $11.9
12/30/2020, $12.03, 595245, $11.93, $12.14, $11.74
12/29/2020, $11.83, 559754, $11.48, $11.88, $11.37
12/28/2020, $11.28, 429058, $11.1, $11.35, $11
12/24/2020, $11.04, 280528, $11.24, $11.31, $10.99
12/23/2020, $11.18, 516386, $11.01, $11.49, $10.9
12/22/2020, $10.96, 503939, $10.98, $11.04, $10.62
12/21/2020, $10.84, 843015, $11.13, $11.13, $10.44
12/18/2020, $11.35, 637644, $11.68, $11.82, $11.16
12/17/2020, $11.73, 782552, $11.97, $12, $11.67
12/16/2020, $11.86, 539240, $11.47, $11.9, $11.365
12/15/2020, $11.47, 318540, $11.35, $11.5, $11.1
12/14/2020, $11.26, 388387, $11.53, $11.6, $10.955
12/11/2020, $11.19, 799489, $11.3, $11.3681, $10.86
12/10/2020, $11.37, 1517834, $11.5, $11.93, $11.25
12/09/2020, $11.4, 4729611, $12.78, $13.48, $11.21
12/08/2020, $12, 990948, $11.28, $12.5, $11.02
12/07/2020, $11.81, 340638, $11.26, $11.88, $11.1705
12/04/2020, $11.3, 984005, $11.38, $11.43, $11.17
12/03/2020, $11.35, 609489, $11.74, $11.79, $11.28
12/02/2020, $11.2, 284622, $11.06, $11.45, $10.8342
12/01/2020, $11.06, 242640, $10.61, $11.24, $10.61
11/30/2020, $10.46, 309942, $10.8, $10.9627, $10.43
11/27/2020, $10.82, 140311, $10.76, $11.19, $10.62
11/25/2020, $10.69, 185379, $10.75, $10.77, $10.32
11/24/2020, $10.68, 178290, $10.65, $10.89, $10.52
11/23/2020, $10.45, 286588, $10.6, $10.62, $10.33
11/20/2020, $10.37, 216472, $10.32, $10.5, $10.08
11/19/2020, $10.36, 269520, $10.11, $10.6, $10.04
11/18/2020, $10.07, 650304, $10.68, $10.81, $9.97
11/17/2020, $10.59, 282173, $10.7, $10.7, $10.07
11/16/2020, $10.83, 833469, $9.85, $10.98, $9.85
11/13/2020, $9.6, 382199, $9.3, $9.68, $9.22
11/12/2020, $9.24, 504523, $9.92, $9.92, $9.21
11/11/2020, $9.99, 405575, $10.05, $10.14, $9.76
11/10/2020, $10.02, 468019, $9.46, $10.2, $9.46
11/09/2020, $9.55, 643979, $10.46, $10.57, $9.36
11/06/2020, $9.06, 502633, $8.58, $9.19, $8.52
11/05/2020, $8.62, 350187, $8.37, $8.79, $8.35
11/04/2020, $8.23, 290794, $8.11, $8.31, $8.02
11/03/2020, $8.11, 322958, $8.17, $8.44, $8.07
11/02/2020, $7.96, 226166, $7.93, $8.01, $7.7594
10/30/2020, $7.88, 285146, $7.51, $8.03, $7.46
10/29/2020, $7.62, 284671, $7.5, $7.721, $7.3849
10/28/2020, $7.54, 352322, $7.95, $7.99, $7.53
10/27/2020, $8.16, 399076, $8.73, $8.77, $8.02
10/26/2020, $8.63, 610689, $9.21, $9.22, $8.45
10/23/2020, $9.08, 1125988, $9.17, $9.24, $8.73
10/22/2020, $9.14, 1116070, $8.7, $9.16, $8.7
10/21/2020, $8.63, 205137, $8.77, $8.78, $8.55
10/20/2020, $8.63, 594504, $8.65, $8.83, $8.575
10/19/2020, $8.57, 379332, $8.36, $8.805, $8.2701
10/16/2020, $8.32, 319156, $8.45, $8.45, $8.13
10/15/2020, $8.35, 197572, $8.14, $8.37, $8.0118
10/14/2020, $8.27, 267138, $8.3, $8.451, $8.22
10/13/2020, $8.25, 129085, $8.17, $8.3, $8.0153
10/12/2020, $8.25, 316259, $8.1, $8.39, $8.025
10/09/2020, $8.04, 576889, $7.94, $8.06, $7.9
10/08/2020, $7.86, 196056, $7.72, $7.9, $7.68
10/07/2020, $7.76, 247288, $7.73, $7.965, $7.66
10/06/2020, $7.74, 488947, $7.92, $8.05, $7.66
10/05/2020, $7.79, 217288, $7.63, $7.85, $7.57
10/02/2020, $7.55, 297481, $7.3, $7.615, $7.29
10/01/2020, $7.52, 481146, $7.5, $7.67, $7.4
09/30/2020, $7.21, 279818, $6.83, $7.24, $6.83
09/29/2020, $6.9, 293800, $6.96, $7.02, $6.82
09/28/2020, $6.99, 191083, $7.1, $7.2, $6.99
09/25/2020, $6.92, 269135, $6.9, $7.02, $6.79
09/24/2020, $6.9, 240597, $6.63, $7.08, $6.33
09/23/2020, $6.63, 297469, $6.84, $6.99, $6.52
09/22/2020, $6.86, 215197, $7.1, $7.15, $6.8
09/21/2020, $7.15, 304990, $7.17, $7.32, $6.83
09/18/2020, $7.42, 381958, $7.79, $7.84, $7.35
09/17/2020, $7.8, 388647, $7.86, $7.92, $7.71
09/16/2020, $8, 250943, $7.95, $8.225, $7.91
09/15/2020, $7.98, 214852, $8.2, $8.289, $7.97
09/14/2020, $8.14, 274835, $8.17, $8.1782, $7.95
09/11/2020, $8.04, 221558, $8.14, $8.14, $7.92
09/10/2020, $8.09, 290320, $8.12, $8.32, $8.03
09/09/2020, $8.05, 305280, $8.63, $8.63, $7.98
09/08/2020, $8.14, 271558, $8.3, $8.32, $8.01
09/04/2020, $8.26, 401494, $8.59, $8.7241, $7.91
09/03/2020, $8.49, 650921, $8.34, $8.98, $8.34
09/02/2020, $8.75, 509451, $8.33, $8.78, $8.12
09/01/2020, $8.17, 263516, $8.06, $8.27, $8.02
08/31/2020, $8.08, 289388, $8.41, $8.41, $8.01
08/28/2020, $8.31, 342966, $7.97, $8.41, $7.865
08/27/2020, $7.88, 276911, $8.03, $8.23, $7.72
08/26/2020, $7.96, 271163, $8.19, $8.19, $7.73
08/25/2020, $8.12, 265691, $8.31, $8.31, $7.96
08/24/2020, $8.28, 932164, $7.7, $8.4, $7.6101
08/21/2020, $7.53, 286566, $7.64, $7.6455, $7.272
08/20/2020, $7.61, 329719, $7.07, $7.67, $7.07
08/19/2020, $7.18, 395692, $6.94, $7.22, $6.94
08/18/2020, $7, 205485, $7, $7.09, $6.84
08/17/2020, $6.98, 265682, $7.07, $7.07, $6.85
08/14/2020, $6.99, 220233, $6.91, $7.05, $6.8369
08/13/2020, $6.89, 155297, $6.81, $6.95, $6.775
08/12/2020, $6.82, 307277, $7.02, $7.06, $6.6
08/11/2020, $6.9, 437024, $6.64, $7.06, $6.64
08/10/2020, $6.47, 363763, $6.46, $6.56, $6.37
08/07/2020, $6.42, 500925, $6.45, $6.45, $6.09
08/06/2020, $6.36, 542984, $5.86, $6.48, $5.85
08/05/2020, $5.86, 202065, $5.85, $5.93, $5.79
08/04/2020, $5.76, 495663, $5.49, $5.815, $5.49
08/03/2020, $5.53, 302009, $5.51, $5.545, $5.21
07/31/2020, $5.53, 254916, $5.5, $5.55, $5.25
07/30/2020, $5.53, 298987, $5.37, $5.6, $5.34
07/29/2020, $5.47, 217975, $5.33, $5.48, $5.3
07/28/2020, $5.31, 597935, $5.1, $5.35, $5.1
07/27/2020, $5.11, 299869, $5.62, $5.62, $5.1
07/24/2020, $5.42, 202499, $5.33, $5.47, $5.33
07/23/2020, $5.39, 242146, $5.56, $5.63, $5.36
07/22/2020, $5.53, 413108, $5.3, $5.53, $5.2
07/21/2020, $5.35, 429482, $4.83, $5.405, $4.83
07/20/2020, $4.85, 176905, $4.95, $4.96, $4.79
07/17/2020, $4.97, 194877, $5.07, $5.09, $4.92
07/16/2020, $5.07, 390999, $5.23, $5.27, $4.99
07/15/2020, $5.3, 245772, $5.14, $5.31, $5.09
07/14/2020, $4.95, 193917, $4.89, $4.97, $4.81
07/13/2020, $4.93, 311941, $5.09, $5.13, $4.9
